Year,Connection type,Value
2018,Equal to or above 10 Mbit/s,39.06701105
2017,Equal to or above 10 Mbit/s,39.26596502
2016,Equal to or above 10 Mbit/s,38.11096175
2015,Equal to or above 10 Mbit/s,37.42540261
2014,Equal to or above 10 Mbit/s,35.55520756
2013,Equal to or above 10 Mbit/s,35.43436992
2012,Equal to or above 10 Mbit/s,33.84964406
2018,256 kbit/s to less than 2 Mbit/s,0.0456
2017,256 kbit/s to less than 2 Mbit/s,0.0641
2016,256 kbit/s to less than 2 Mbit/s,0.1245
2015,256 kbit/s to less than 2 Mbit/s,0.0732
2014,256 kbit/s to less than 2 Mbit/s,0.1907
2013,256 kbit/s to less than 2 Mbit/s,0.3679
2012,256 kbit/s to less than 2 Mbit/s,0.7609999999999999
2018,2 Mbit/s to less than 10 Mbit/s,0.076912039
2017,2 Mbit/s to less than 10 Mbit/s,0.148071961
2016,2 Mbit/s to less than 10 Mbit/s,0.264337847
2015,2 Mbit/s to less than 10 Mbit/s,0.312367062
2014,2 Mbit/s to less than 10 Mbit/s,0.992719647
2013,2 Mbit/s to less than 10 Mbit/s,0.694407765
2012,2 Mbit/s to less than 10 Mbit/s,0.880231558
